num_heads_removed,mean_kl_div,order_type
1104,13.061689376831055,random_0
1120,12.596536763509114,random_0
1136,13.814642492930094,random_0
1152,15.0418466091156,random_0
0,0.0,random_1
16,0.03736567309436699,random_1
32,0.05139703287277371,random_1
48,0.06587267954212923,random_1
64,0.07674475331635525,random_1
80,0.0981724438490346,random_1
96,0.11741614478329818,random_1
112,0.13527976931072772,random_1
128,0.1549101890064776,random_1
144,0.18458206333840887,random_1
160,0.2109013012299935,random_1
176,0.23756479326014718,random_1
192,0.2437855574612816,random_1
208,0.2758358094841242,random_1
224,0.30651460979133843,random_1
240,0.3247947635749976,random_1
256,0.3562554206078251,random_1
272,0.38435136458526054,random_1
288,0.4225030194967985,random_1
304,0.45608092298110325,random_1
320,0.49412761876980466,random_1
336,0.5294800905510784,random_1
352,0.5887972082942724,random_1
368,0.6793211797873179,random_1
384,0.7333608665814002,random_1
400,0.7755020649482807,random_1
416,0.840512712051471,random_1
432,0.9478596818943819,random_1
448,0.9985533920427163,random_1
464,1.4854330604275068,random_1
480,1.2085838029781977,random_1
496,1.1347277656197547,random_1
512,1.2892525056997934,random_1
528,1.843235128124555,random_1
544,2.390504019955794,random_1
560,2.6624186744292575,random_1
576,2.956118845939636,random_1
592,3.0427182922760645,random_1
608,3.330572242538134,random_1
624,3.532785701751709,random_1
640,3.6594851394494374,random_1
656,3.9320641696453094,random_1
672,3.49940757950147,random_1
688,3.408913258711497,random_1
704,3.696891051530838,random_1
720,3.9680470705032347,random_1
736,4.088022033373515,random_1
752,4.722069684664408,random_1
768,4.346246647834778,random_1
784,4.203627014160157,random_1
800,4.151957062880198,random_1
816,4.175277396043142,random_1
832,4.666945413748423,random_1
848,5.625406376520792,random_1
864,5.89770618279775,random_1
880,6.274474759896596,random_1
896,7.168275634447734,random_1
912,7.591878652572632,random_1
928,8.703245377540588,random_1
944,8.395928899447123,random_1
960,9.403614234924316,random_1
976,10.283936929702758,random_1
992,10.473840268452962,random_1
1008,11.724272203445434,random_1
1024,12.403552786509197,random_1
1040,12.00656156539917,random_1
1056,11.847152996063233,random_1
1072,11.498492574691772,random_1
1088,13.324787791570028,random_1
1104,13.765013313293457,random_1
1120,14.722507810592651,random_1
1136,14.471571413675944,random_1
1152,15.0418466091156,random_1
0,0.0,random_2
16,0.030006968625821175,random_2
32,0.044758463037821154,random_2
48,0.07762491871447613,random_2
64,0.08723568055623522,random_2
80,0.11476485586414735,random_2
96,0.13011968440065783,random_2
112,0.15260569682965677,random_2
128,0.17448000030902525,random_2
144,0.2213084219644467,random_2
160,0.24829033939167858,random_2
176,0.262133209190021,random_2
192,0.3266054324184855,random_2
208,0.35684495760748786,random_2
224,0.3888138487935066,random_2
240,0.42111688063790403,random_2
256,0.4787097533543905,random_2
272,0.5140787022809188,random_2
288,0.5692704227442543,random_2
304,0.5968659852941831,random_2
320,0.6767017374436061,random_2
336,0.8283970867594083,random_2
352,0.9714704473192494,random_2
368,1.1675589315593242,random_2
384,1.223344636708498,random_2
400,1.1113525891055664,random_2
416,1.098306717351079,random_2
432,1.1698714224000772,random_2
448,1.2081307580073675,random_2
464,1.2576856839160124,random_2
480,1.328815687696139,random_2
496,1.3383361791570982,random_2
512,1.4291128183404604,random_2
528,1.3837929350634417,random_2
544,1.350965009133021,random_2
560,1.4740337274968625,random_2
576,1.7072596182425817,random_2
592,1.9927304943402608,random_2
608,2.81603306333224,random_2
624,3.2231649974981944,random_2
640,3.472037593523661,random_2
656,3.588247396548589,random_2
672,3.7485713958740234,random_2
688,3.883843183517456,random_2
704,4.2331627368927,random_2
720,5.064376906553904,random_2
736,5.749766167004903,random_2
752,5.934131101767222,random_2
768,6.078613559405009,random_2
784,5.977988266944886,random_2
800,5.876985283692678,random_2
816,6.871457727750142,random_2
832,7.048885814348856,random_2
848,7.304430397351583,random_2
864,6.928709697723389,random_2
880,7.074385809898376,random_2
896,7.434676742553711,random_2
912,8.642977770169576,random_2
928,8.69575920899709,random_2
944,9.163410663604736,random_2
960,8.659563120206197,random_2
976,8.754165037473042,random_2
992,9.372638082504272,random_2
1008,9.09790640672048,random_2
1024,10.217951202392578,random_2
1040,11.41554290453593,random_2
1056,11.739414914449055,random_2
1072,12.800802818934123,random_2
1088,13.420380671819052,random_2
1104,15.600132211049397,random_2
1120,16.802232185999554,random_2
1136,15.462997198104858,random_2
1152,15.0418466091156,random_2
0,0.0,random_3
16,0.021507012331858276,random_3
32,0.03794625417406981,random_3
48,0.06284151683406283,random_3
64,0.07004947249467174,random_3
80,0.08433606590454777,random_3
96,0.1000067295661817,random_3
112,0.15265370899190506,random_3
128,0.1611789437631766,random_3
144,0.20710865408182144,random_3
160,0.303869580787917,random_3
176,0.3344885484315455,random_3
192,0.3585582498461008,random_3
208,0.3842335325976213,random_3
224,0.42625223472714424,random_3
240,0.46411486268043517,random_3
256,0.5320399634540081,random_3
272,0.5754498839378357,random_3
288,0.5941463901350895,random_3
304,0.6336900611718496,random_3
320,0.6904669360568126,random_3
336,0.874236839885513,random_3
352,1.017717831581831,random_3
368,1.0895953913529715,random_3
384,1.1327411646644274,random_3
400,1.2021265551447868,random_3
416,1.314039775232474,random_3
432,1.4764514376719793,random_3
448,1.6090942720572154,random_3
464,1.5854466378688812,random_3
480,1.5916292548179627,random_3
496,1.7225259602069856,random_3
512,1.9345780909061432,random_3
528,2.115802150964737,random_3
544,2.361117837826411,random_3
560,2.4496691246827442,random_3
576,2.7642762581507365,random_3
592,3.1748745501041413,random_3
608,3.033159401019414,random_3
624,3.325810943047206,random_3
640,3.4041168292363486,random_3
656,4.8289497574170435,random_3
672,4.777496826648712,random_3
688,6.205019120375315,random_3
704,5.9747728625933325,random_3
720,6.455480774243672,random_3
736,5.6842463374137875,random_3
752,6.228147379557291,random_3
768,6.775261425971985,random_3
784,6.847105240821838,random_3
800,7.329969986279806,random_3
816,7.377711057662964,random_3
832,6.974827973047892,random_3
848,7.728565263748169,random_3
864,8.249023604393006,random_3
880,8.837599714597067,random_3
896,8.791334756215413,random_3
912,8.796438376108805,random_3
928,8.782673088709513,random_3
944,8.745963501930238,random_3
960,9.133383464813232,random_3
976,9.464778836568197,random_3
992,9.882201703389486,random_3
1008,9.736980279286703,random_3
1024,9.194628071784972,random_3
1040,9.731318434079489,random_3
1056,11.355424149831135,random_3
1072,11.44920145670573,random_3
1088,12.199654118220012,random_3
1104,16.626939980189004,random_3
1120,15.647705777486165,random_3
1136,15.294200944900513,random_3
1152,15.0418466091156,random_3
0,0.0,random_4
16,0.008770284914256384,random_4
32,0.020746654147903124,random_4
48,0.046998404028515024,random_4
64,0.06443634793783228,random_4
80,0.07803213655327758,random_4
96,0.10289601488038898,random_4
112,0.14576894386361042,random_4
128,0.16746348875264327,random_4
144,0.18550990540534257,random_4
160,0.203548493112127,random_4
176,0.24010384678840638,random_4
192,0.27226295694708824,random_4
208,0.2840503285328547,random_4
224,0.32369988796611626,random_4
240,0.32760991031924885,random_4
256,0.3630566264192263,random_4
272,0.4891438663005829,random_4
288,0.5416411278148492,random_4
304,1.2826709143817425,random_4
320,1.7758233547210693,random_4
336,1.8810537522037825,random_4
352,2.1117300257086753,random_4
368,2.106490682562192,random_4
384,2.79509308586518,random_4
400,4.107263693710168,random_4
416,4.212325704097748,random_4
432,4.2542738576730095,random_4
448,2.8465134541193646,random_4
464,2.905798383553823,random_4
480,1.880747746427854,random_4
496,2.5737139890591303,random_4
