head_idx,layer,head_in_layer,avg_synergy,avg_redundancy,syn_balance,syn_red_score
59,7,3,0.2120267985906446,0.023442940518724854,0.884123962500663,0.7051637454576947
60,7,4,0.25259719982704987,0.00791533537486491,0.9616537343719775,0.9262890482118804
61,7,5,0.26326642254564386,0.010802187768304319,0.9303873104602569,0.8371130157453384
62,7,6,0.18670699693632736,0.005022009102517208,0.9563478246859404,0.9111558824951186
63,7,7,0.2216559627185092,0.009187953295116864,0.9403111928285265,0.8654172586215186
64,8,0,0.2405082338659722,0.03433707231528516,0.8574023667827902,0.6289501722641974
65,8,1,0.2278780424996392,0.040297959763159356,0.8461975830037879,0.5969926268513261
66,8,2,0.24780311112674633,0.03685348572718774,0.861703570721433,0.6412177825019592
67,8,3,0.24341806905290542,0.006815166592924012,0.9569970947441183,0.9130076877399751
68,8,4,0.2524971477535649,0.007210267904638715,0.9556542777230925,0.9091777935825325
69,8,5,0.19828569515647024,0.02286095821314136,0.8839489118323731,0.7046644774850354
70,8,6,0.16844072999501317,0.0030095369420483045,0.9745203111602205,0.9629862500614177
71,8,7,0.1811995718607816,0.018285783883112996,0.9027678815492911,0.7583387019246794
72,9,0,0.09043734973470992,0.005095441640818241,0.9289574147928109,0.8330347616148386
73,9,1,0.25286101860392235,0.008145077003668807,0.947392730028767,0.8856147520433661
74,9,2,0.18041438463591714,0.01775105274224167,0.8878832403526624,0.7158857098475838
75,9,3,0.2174160393791905,0.004585224487460858,0.9687075638244963,0.9464075154228191
76,9,4,0.18724759494770313,0.02478890388981737,0.8702157407878781,0.6654956326439924
77,9,5,0.1928066688683053,0.01099891637533196,0.9222103919720365,0.8137913480470869
78,9,6,0.21266936933538597,0.003658526193090134,0.9698349696113003,0.9496230278629647
79,9,7,0.16515044062001438,0.007143316781067434,0.9516031351391225,0.8976233918506711
80,10,0,0.13486016863169567,0.008169804366566192,0.9348862648806185,0.8499446368667186
81,10,1,0.16067375638465364,0.023037134778745864,0.8559448027355894,0.624793004205508
