head_idx,layer,head_in_layer,avg_synergy,avg_redundancy,syn_balance,syn_red_score
447,13,31,0.059857831461303856,0.007402335451915263,0.8835678523629743,0.6143881953292185
448,14,0,0.026482114409136278,0.003971294429116819,0.8639589336752322,0.44105124418474295
449,14,1,0.020682000647797807,0.002646060069610413,0.8813210050795142,0.5945267402431872
450,14,2,0.01999163584744827,0.003097918350401174,0.8541293300120769,0.35416050038279057
451,14,3,0.011461428406439982,0.002256792032552391,0.8329643191523444,0.1670681618511855
452,14,4,0.02659685921922599,0.003692655965379493,0.8705537608913642,0.499347535845308
453,14,5,0.03743077271831174,0.00439398505474072,0.8869287796287747,0.6440977828158736
454,14,6,0.024826305016349484,0.0034486564307897203,0.8739577578901251,0.5294378468342056
455,14,7,0.017966275635237172,0.002852106108021015,0.8584579797607602,0.39242446393719604
456,14,8,0.059447710591718106,0.004965744763644137,0.9125926843210501,0.8709589914659085
457,14,9,0.03886758078390415,0.004317414998728374,0.889165995039714,0.6638740950420077
458,14,10,0.04019755751635085,0.003669319386541635,0.9075803686661919,0.8266516266579768
459,14,11,0.027404892848303924,0.0037132382917555596,0.8729127319401768,0.5202001313377297
460,14,12,0.024107254357335885,0.003993839339600519,0.8525443440033177,0.34014970015765017
461,14,13,0.021227033947123254,0.003400799221106209,0.8564761305962009,0.3749055126230836
462,14,14,0.043694836079327795,0.005503398113511361,0.8782948262356561,0.5677762282559979
463,14,15,0.053923679716709194,0.004853468368484225,0.9055432383917369,0.8086440069375244
464,14,16,0.05957974705401418,0.005376418545892201,0.9031028800713472,0.7870719724111723
465,14,17,0.05975046233535486,0.0070699824432272265,0.8865889959430238,0.6410941970968141
466,14,18,0.05602814953737736,0.006264299021395634,0.885976004292778,0.635675535036828
467,14,19,0.0441835020172898,0.004977143995463316,0.892750768581569,0.6955624163708605
468,14,20,0.04446543950970219,0.0050392652963827875,0.8825989282990676,0.6058231976461442
469,14,21,0.015578815051782985,0.002366232976490009,0.8634441920392638,0.4365010827389891
470,14,22,0.0139695190936905,0.0025505590463564347,0.8429286976328791,0.2551502745556063
471,14,23,0.03122372265246745,0.004843158465351704,0.8577941906079336,0.38655676721276294
472,14,24,0.043487399193771814,0.004420467070044234,0.9013086166546121,0.7712112227615068
473,14,25,0.0444717352787704,0.006084554404294392,0.871408075655915,0.5068994217479984
474,14,26,0.031012246264844976,0.003017800640259486,0.9041904412666593,0.796685686700083
475,14,27,0.03453693867702638,0.0037496571562398535,0.8954912719281319,0.7197876427721207
476,14,28,0.06223665245202274,0.008342449089816236,0.869344599002827,0.4886589079542583
477,14,29,0.024748317111094563,0.003909322986849434,0.858597779410156,0.39366025084534845
478,14,30,0.02090368980149919,0.0035131870561190786,0.8493873578060815,0.312242890458032
479,14,31,0.043596641692252226,0.005691039556331179,0.8757091211215103,0.5449193717315793
480,15,0,0.04368940206047594,0.005420628281546026,0.8823712351807542,0.6038104588738787
481,15,1,0.04102378220915191,0.004598301065211377,0.8926212474280925,0.6944174882792176
482,15,2,0.029893569554329286,0.004089931564293151,0.8723986944886962,0.5156561946713278
483,15,3,0.05034428486146023,0.005119623817073326,0.8983127900343805,0.7447290153140848
484,15,4,0.04596014244142149,0.0048440648451554815,0.8917478478266682,0.6866968981511996
485,15,5,0.030722391567292257,0.0034541358161032363,0.8908803930637601,0.6790288586099764
486,15,6,0.021573500544997487,0.003595304852801436,0.8513399756398241,0.32950344558812417
487,15,7,0.017560435917502483,0.002858703450489622,0.8567718368661529,0.37751946722629326
488,15,8,0.058837359105283524,0.009008950338396321,0.856704570806583,0.37692485546482823
489,15,9,0.053798372021952666,0.008167751523562179,0.859118891229252,0.3982667227964976
490,15,10,0.019842717537141674,0.0034161643988280207,0.845786304805881,0.2804106636073682
491,15,11,0.03660608337960817,0.006108065979051186,0.8493463379212982,0.31188028699795006
